id,year,state_name,state_code,district_name,district_code,registration_circles,male_below_5_years,male_5_to_14_years,male_14_to_18_years,male_18_to_30_years,male_30_to_45_years,male_45_to_60_years,male_60_years_and_above,female_below_5_years,female_5_to_14_years,female_14_to_18_years,female_18_to_30_years,female_30_to_45_years,female_45_to_60_years,female_60_years_and_above,trangender_below_5_years,trangender_5_to_14_years,trangender_14_to_18_years,trangender_18_to_30_years,trangender_30_to_45_years,trangender_45_to_60_years,transgender_60_years_and_above
0,2017,Andhra Pradesh,28,Anantapur,502,Anantapur,1,26,34,56,62,22,13,1,41,194,306,25,7,7,0,0,0,0,0,0,0
1,2017,Andhra Pradesh,28,Chittoor,503,Chittoor,0,15,12,16,20,10,14,5,11,78,105,27,6,1,0,0,0,0,0,0,0
2,2017,Andhra Pradesh,28,Y.S.R.,504,Cuddapah,6,18,11,24,41,11,7,7,8,45,123,18,6,2,0,0,1,2,0,0,0
3,2017,Andhra Pradesh,28,East Godavari,505,East Godavari,0,0,49,70,101,39,12,0,2,116,90,84,87,18,0,0,0,0,0,0,0
4,2017,Andhra Pradesh,28,Anantapur,502,Guntakal Railway,0,0,1,2,1,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
5,2017,Andhra Pradesh,28,Guntur,506,Guntur,2,26,35,47,43,16,15,2,14,32,176,32,4,12,0,0,0,0,0,0,0
6,2017,Andhra Pradesh,28,Guntur,506,Guntur Urban,0,4,10,64,42,15,20,0,3,2,190,25,5,8,0,0,0,0,0,0,0
7,2017,Andhra Pradesh,28,Krishna,510,Krishna,11,13,28,43,37,22,16,10,16,89,174,21,6,4,0,0,0,0,0,0,0
8,2017,Andhra Pradesh,28,Kurnool,511,Kurnool,0,11,20,29,24,15,5,1,8,78,123,22,6,4,0,0,0,0,0,0,0
9,2017,Andhra Pradesh,28,Spsr Nellore,515,Nellore,2,14,23,46,40,14,14,3,10,94,176,23,6,4,0,0,0,0,0,0,0
10,2017,Andhra Pradesh,28,Prakasam,517,Prakasham,2,14,19,46,36,15,10,7,10,45,169,31,10,3,0,0,0,0,0,0,0
11,2017,Andhra Pradesh,28,East Godavari,505,Rajahmundry,0,4,20,48,20,12,4,2,3,32,60,5,4,2,0,0,0,0,0,0,0
12,2017,Andhra Pradesh,28,Srikakulam,519,Srikakulam,3,4,4,10,26,7,6,1,5,26,66,24,9,3,0,0,0,0,0,0,0
13,2017,Andhra Pradesh,28,Tirupati,752,Tirupathi Urban,4,22,27,14,18,42,29,9,15,69,111,28,16,11,0,0,0,0,0,0,0
14,2017,Andhra Pradesh,28,Ntr,749,Vijayawada City,0,23,52,133,101,51,25,1,22,132,314,64,17,12,0,0,0,0,0,0,0
15,2017,Andhra Pradesh,28,Ntr,749,Vijayawada Railway,0,2,3,6,0,1,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0
16,2017,Andhra Pradesh,28,Visakhapatanam,520,Visakha Rural,2,5,14,28,22,15,3,2,3,11,50,12,2,4,0,0,0,0,0,0,0
17,2017,Andhra Pradesh,28,Visakhapatanam,520,Visakhapatnam,2,6,13,126,106,39,26,3,5,28,257,47,20,10,0,1,3,0,0,0,0
18,2017,Andhra Pradesh,28,Vizianagaram,521,Vizianagaram,0,13,10,25,27,8,11,3,10,41,88,15,8,3,0,0,0,0,0,0,0
19,2017,Andhra Pradesh,28,West Godavari,523,West Godavari,14,15,49,87,81,19,18,3,20,103,125,165,32,7,0,0,0,0,0,0,0
20,2017,Arunachal Pradesh,12,Anjaw,628,Anjaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2017,Arunachal Pradesh,12,Changlang,229,Changlang,0,0,0,1,3,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
22,2017,Arunachal Pradesh,12,Papum Pare,237,Crime Branch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2017,Arunachal Pradesh,12,Dibang Valley,230,Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2017,Arunachal Pradesh,12,East Kameng,231,Kameng East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2017,Arunachal Pradesh,12,West Kameng,242,Kameng West,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
26,2017,Arunachal Pradesh,12,Kurung Kumey,233,Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2017,Arunachal Pradesh,12,Lohit,234,Lohit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2017,Arunachal Pradesh,12,Longding,666,Longding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2017,Arunachal Pradesh,12,Lower Dibang Valley,235,Lower Dibang Valley,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
30,2017,Arunachal Pradesh,12,Papum Pare,237,Papum Pare City,1,0,1,0,0,0,0,0,6,28,36,8,0,0,0,0,0,0,0,0,0
31,2017,Arunachal Pradesh,12,Papum Pare,237,Papum Pare Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2017,Arunachal Pradesh,12,East Siang,232,Siang East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2017,Arunachal Pradesh,12,Upper Siang,240,Siang Upper,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
34,2017,Arunachal Pradesh,12,West Siang,243,Siang West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2017,Arunachal Pradesh,12,Lower Subansiri,236,Subansiri Lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2017,Arunachal Pradesh,12,Upper Subansiri,241,Subansiri Upper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2017,Arunachal Pradesh,12,Tawang,238,Tawang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2017,Arunachal Pradesh,12,Tirap,239,Tirap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2017,Arunachal Pradesh,12,Namsai,678,Namsai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2017,Arunachal Pradesh,12,Siang,679,Siang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2017,Arunachal Pradesh,12,Kamle,718,Kamle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2017,Arunachal Pradesh,12,Lower Siang,719,Lower Siang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2017,Assam,18,Kamrup Metro,618,Bieo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2017,Assam,18,Barpeta,280,Barpeta,0,1,2,15,7,4,0,0,0,2,67,32,3,0,0,0,0,0,0,0,0
45,2017,Assam,18,Baksa,616,Baksa,0,9,11,13,6,1,1,0,1,10,37,3,1,1,0,0,0,0,0,0,0
46,2017,Assam,18,Bongaigaon,281,Bongaigaon,0,4,5,6,4,1,0,3,18,36,22,9,108,0,0,0,0,0,0,0,0
47,2017,Assam,18,Kamrup Metro,618,Cid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2017,Assam,18,Cachar,282,Cachar,4,6,14,46,25,19,1,3,28,70,159,57,0,0,0,0,0,0,0,0,0
49,2017,Assam,18,Chirang,612,Chirang,0,5,1,14,6,0,0,0,10,8,20,4,0,0,0,0,0,0,0,0,0
50,2017,Assam,18,Darrang,283,Darrang,0,10,0,14,0,0,0,0,7,13,5,0,0,0,0,0,0,0,0,0,0
51,2017,Assam,18,Dhemaji,284,Dhemaji,0,1,3,2,2,0,0,0,1,0,6,1,1,0,0,0,0,0,0,0,0
52,2017,Assam,18,Dhubri,285,Dhubri,1,7,21,24,18,6,1,2,6,29,48,28,4,1,0,0,0,0,0,0,0
53,2017,Assam,18,Dibrugarh,286,Dibrugarh,0,2,6,0,0,0,0,0,1,5,40,20,0,0,0,0,0,0,0,0,0
54,2017,Assam,18,Kamrup Metro,618,Grp,0,0,0,2,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0
55,2017,Assam,18,Goalpara,287,Goalpara,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2017,Assam,18,Golaghat,288,Golaghat,0,5,9,0,0,0,0,0,18,49,166,0,0,0,0,0,0,0,0,0,0
